CustomerID,Churn,Tenure,TenureCohort,RiskLevel,DaySinceLastOrder,OrderCount,CashbackAmount,SatisfactionScore,Complain,CityTier,Gender,RFM_Score,RFMSegment
50017,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,129.26,2,1,1,Female,7,At Risk
50105,1,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,123.89,2,1,1,Male,7,At Risk
50110,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,124.36,2,1,1,Male,5,Lost Customers
50169,1,0.0,New (0-3m),CRITICAL RISK,4.0,7.0,158.28,2,1,3,Male,11,Potential Loyalists
50199,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,134.64,2,1,1,Male,7,At Risk
50254,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,153.04,2,1,3,Male,6,Lost Customers
50273,0,0.0,New (0-3m),CRITICAL RISK,3.0,1.0,144.87,2,1,3,Female,7,At Risk
50339,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,123.4,2,1,1,Male,7,At Risk
50350,0,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,127.25,2,1,1,Male,5,Lost Customers
50381,0,0.0,New (0-3m),CRITICAL RISK,2.0,1.0,126.59,2,1,1,Female,6,Lost Customers
50397,0,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,146.47,2,1,3,Female,6,Lost Customers
50438,1,0.0,New (0-3m),CRITICAL RISK,8.0,7.0,126.86,2,1,1,Male,8,At Risk
50478,0,3.0,New (0-3m),CRITICAL RISK,0.0,1.0,168.77,2,1,1,Female,9,At Risk
50486,0,0.0,New (0-3m),CRITICAL RISK,3.0,1.0,228.08,2,1,1,Male,10,Potential Loyalists
50532,1,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,127.95,2,1,1,Male,7,At Risk
50569,1,0.0,New (0-3m),CRITICAL RISK,7.0,3.0,203.25,2,1,3,Male,10,Potential Loyalists
50652,1,0.0,New (0-3m),CRITICAL RISK,2.0,1.0,123.23,2,1,3,Female,6,Lost Customers
50672,1,0.0,New (0-3m),CRITICAL RISK,6.0,5.0,136.91,2,1,1,Male,8,At Risk
50701,0,2.0,New (0-3m),CRITICAL RISK,2.0,1.0,150.56,2,1,1,Male,7,At Risk
50718,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,125.15,2,1,1,Female,7,At Risk
50736,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,128.53,2,1,1,Male,7,At Risk
50779,0,2.0,New (0-3m),CRITICAL RISK,0.0,1.0,166.23,2,1,1,Male,9,At Risk
50785,0,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,129.94,2,1,1,Female,7,At Risk
50787,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,111.18,2,1,3,Male,7,At Risk
50788,0,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,128.75,2,1,1,Male,7,At Risk
50805,0,1.0,New (0-3m),CRITICAL RISK,2.0,2.0,138.67,2,1,1,Male,7,At Risk
50872,0,0.0,New (0-3m),CRITICAL RISK,4.0,4.0,157.69,2,1,3,Female,10,Potential Loyalists
50883,1,0.0,New (0-3m),CRITICAL RISK,7.0,7.0,175.53,2,1,1,Female,11,Potential Loyalists
50912,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,137.22,1,1,1,Male,7,At Risk
51043,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,154.4,1,1,3,Male,9,At Risk
51044,0,0.0,New (0-3m),CRITICAL RISK,3.0,1.0,137.6,1,1,1,Female,6,Lost Customers
51062,1,0.0,New (0-3m),CRITICAL RISK,7.0,6.0,145.81,1,1,3,Male,9,At Risk
51157,1,0.0,New (0-3m),CRITICAL RISK,7.0,7.0,158.13,1,1,3,Male,10,Potential Loyalists
51193,0,0.0,New (0-3m),CRITICAL RISK,2.0,1.0,123.79,1,1,1,Female,6,Lost Customers
51208,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,124.39,1,1,1,Male,7,At Risk
51240,0,1.0,New (0-3m),CRITICAL RISK,7.0,1.0,168.34,1,1,3,Male,6,Lost Customers
51271,1,0.0,New (0-3m),CRITICAL RISK,8.0,1.0,156.17,1,1,3,Male,6,Lost Customers
51318,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,147.87,1,1,1,Male,8,At Risk
51363,0,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,129.35,1,1,1,Male,7,At Risk
51400,0,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,141.57,1,1,3,Female,8,At Risk
51426,0,3.0,New (0-3m),CRITICAL RISK,0.0,3.0,151.26,1,1,1,Male,11,Potential Loyalists
51448,1,0.0,New (0-3m),CRITICAL RISK,0.0,1.0,129.26,1,1,1,Female,7,At Risk
51485,0,3.0,New (0-3m),CRITICAL RISK,7.0,4.0,163.47,1,1,2,Male,9,At Risk
51575,1,0.0,New (0-3m),CRITICAL RISK,1.0,1.0,123.89,1,1,1,Male,7,At Risk
51580,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,124.36,1,1,1,Male,5,Lost Customers
51639,1,0.0,New (0-3m),CRITICAL RISK,4.0,7.0,158.28,1,1,3,Male,11,Potential Loyalists
51669,1,0.0,New (0-3m),CRITICAL RISK,2.0,2.0,134.64,1,1,1,Male,7,At Risk
51724,1,0.0,New (0-3m),CRITICAL RISK,4.0,1.0,153.04,1,1,3,Male,6,Lost Customers
